Num_Houses,Avg_Area,Status,Season,Peak_Load_kVA,Transformer_Size_kVA
51,316,Middle,Autumn,253.04,400
87,345,Middle,Spring,440.13,630
98,397,High,Autumn,703.78,1000
68,205,Low,Spring,173.38,250
69,339,High,Summer,760.93,1000
50,389,High,Spring,414.44,630
69,274,Middle,Autumn,298.07,400
71,235,High,Spring,475.28,630
72,109,Low,Spring,152.78,250
74,287,High,Winter,784.55,1000
95,101,Low,Autumn,168.72,250
98,270,Low,Winter,379.29,630
63,283,Low,Winter,318.64,400
74,333,High,Winter,793.84,1000
94,219,Low,Spring,257.5,400
97,337,Low,Winter,463.64,630
80,220,High,Summer,698.17,1000
81,323,Low,Summer,397.63,630
47,126,High,Autumn,250.37,400
42,171,High,Spring,255.48,400
86,144,High,Summer,695.47,1000
59,360,High,Summer,635.74,1000
97,154,Middle,Spring,335.1,400
96,334,Middle,Summer,596.7,1000
40,146,Low,Summer,163.91,250
40,192,Middle,Autumn,171.47,250
61,178,Middle,Autumn,242.29,400
73,290,Low,Winter,317.78,400
14,130,High,Autumn,93.6,250
45,165,Low,Autumn,120.64,250
87,131,High,Spring,450.68,630
97,328,High,Autumn,576.26,1000
48,183,Low,Autumn,134.46,250
99,122,Middle,Summer,434.76,630
83,109,High,Spring,462.0,630
51,177,Low,Summer,191.21,250
65,387,Low,Spring,277.14,400
62,326,Middle,Summer,490.05,630
35,294,Low,Spring,127.17,250
81,393,Middle,Winter,603.98,1000
99,301,Low,Summer,430.27,630
62,400,Middle,Spring,332.34,400
67,141,Low,Winter,208.98,250
40,366,Middle,Autumn,224.75,250
31,371,Middle,Winter,256.57,400
93,129,High,Summer,774.87,1000
37,164,Low,Winter,148.11,250
24,338,Low,Winter,148.2,250
22,300,High,Winter,242.1,400
82,299,High,Winter,716.44,1000
58,129,Middle,Spring,228.26,400
56,258,Middle,Autumn,231.91,400
54,350,Middle,Autumn,300.36,400
10,133,Middle,Summer,60.93,100
87,387,Middle,Spring,408.6,630
54,141,Middle,Winter,328.99,400
23,363,High,Autumn,190.79,250
55,156,Middle,Winter,319.79,400
81,331,Middle,Winter,576.08,1000
94,374,High,Spring,674.72,1000
91,259,High,Spring,591.96,1000
31,274,Middle,Summer,209.16,250
91,343,Middle,Autumn,443.66,630
52,238,Low,Spring,172.1,250
93,115,Middle,Autumn,265.63,400
79,355,High,Summer,818.7,1000
97,308,Low,Spring,324.27,400
24,367,High,Spring,179.86,250
64,206,High,Summer,586.66,1000
70,300,High,Spring,452.54,630
91,350,Low,Spring,286.98,400
34,135,Middle,Summer,186.33,250
23,330,High,Autumn,170.34,250
52,320,Middle,Winter,414.33,630
71,371,Middle,Spring,392.65,630
40,334,High,Winter,419.97,630
37,368,High,Summer,405.17,630
21,367,Low,Summer,122.28,250
69,346,Middle,Spring,341.12,400
24,130,Low,Summer,91.72,250
99,163,High,Summer,834.9,1000
25,267,Low,Spring,94.06,250
38,388,Low,Autumn,165.4,250
68,320,Low,Spring,238.17,400
95,111,High,Autumn,459.21,630
39,362,Middle,Spring,203.62,250
84,198,High,Summer,688.33,1000
60,271,High,Autumn,410.02,630
58,233,Middle,Autumn,260.14,400
43,345,Middle,Summer,314.49,400
71,169,Middle,Spring,285.31,400
52,380,Low,Spring,225.8,250
40,121,Middle,Spring,138.25,250
64,233,Middle,Spring,297.11,400
92,200,Low,Summer,310.3,400
28,280,Low,Autumn,96.86,250
97,246,Middle,Autumn,408.32,630
52,267,Low,Summer,238.07,400
31,319,Middle,Spring,163.44,250
83,270,Middle,Winter,504.35,630
91,250,Low,Winter,369.54,630
86,236,Middle,Winter,546.76,630
33,202,High,Spring,206.08,250
73,359,Low,Spring,251.25,400
26,121,Low,Spring,63.66,100
65,331,Low,Summer,320.69,400
40,286,High,Summer,468.44,630
57,244,High,Spring,349.93,400
31,183,Low,Winter,143.64,250
44,347,Middle,Autumn,250.96,400
29,109,High,Spring,176.8,250
66,249,Low,Winter,284.93,400
72,322,Middle,Spring,319.41,400
40,350,Low,Spring,166.78,250
26,261,Middle,Autumn,119.55,250
48,361,Middle,Winter,413.08,630
97,190,Low,Winter,348.22,400
37,343,Middle,Winter,276.48,400
66,350,High,Winter,748.71,1000
23,204,High,Winter,233.17,400
17,396,Middle,Spring,103.84,250
85,279,High,Autumn,481.39,630
68,373,Low,Autumn,254.4,400
75,213,High,Spring,403.02,630
12,330,High,Spring,100.82,250
10,275,Low,Winter,52.97,100
57,114,High,Spring,336.25,400
41,355,Middle,Winter,344.56,400
22,204,High,Summer,224.86,250
13,128,Middle,Winter,79.87,100
25,284,Middle,Spring,122.58,250
77,157,Middle,Summer,434.71,630
69,290,Middle,Autumn,346.55,400
58,305,Low,Winter,271.86,400
92,133,High,Summer,777.26,1000
36,118,High,Summer,301.54,400
34,282,High,Spring,223.98,250
71,235,High,Winter,590.21,1000
34,146,Low,Autumn,85.69,100
28,330,Middle,Autumn,157.25,250
10,352,Low,Summer,64.66,100
21,385,Middle,Autumn,133.38,250
35,372,Middle,Spring,204.65,250
56,307,High,Spring,388.76,630
26,264,Middle,Summer,183.87,250
68,100,Middle,Winter,355.77,400
17,131,Low,Summer,58.28,100
74,165,Low,Autumn,175.15,250
33,123,Low,Winter,110.82,250
11,344,Middle,Autumn,62.97,100
94,262,Middle,Autumn,372.31,630
94,226,Low,Spring,220.79,250
58,211,High,Winter,521.5,630
92,303,Low,Summer,419.25,630
51,298,High,Summer,507.82,630
10,141,Low,Spring,28.91,50
58,383,High,Autumn,445.75,630
74,332,Middle,Summer,560.45,630
77,264,High,Autumn,455.42,630
99,219,Middle,Summer,598.95,1000
80,397,Middle,Winter,613.52,1000
77,123,High,Autumn,421.88,630
50,178,High,Spring,306.43,400
33,305,High,Winter,336.88,400
58,237,Low,Spring,164.24,250
64,252,High,Summer,659.45,1000
71,179,High,Winter,564.04,630
90,369,Middle,Winter,585.08,1000
48,361,Middle,Autumn,252.38,400
69,206,High,Spring,430.76,630
11,188,Middle,Summer,76.11,100
39,387,Low,Winter,234.96,400
47,316,Low,Autumn,179.21,250
58,238,High,Spring,350.15,400
85,233,High,Summer,731.68,1000
89,294,Low,Spring,293.26,400
67,398,Middle,Summer,511.66,630
37,395,High,Summer,428.87,630
49,299,Low,Spring,160.26,250
16,364,Low,Summer,112.31,250
44,358,Middle,Summer,361.32,400
37,198,Middle,Summer,218.76,250
15,337,Middle,Winter,118.21,250
47,226,High,Spring,301.09,400
40,230,Middle,Autumn,173.39,250
17,331,Low,Spring,62.96,100
29,315,Middle,Summer,215.56,250
100,130,High,Spring,481.32,630
42,339,Low,Autumn,157.52,250
44,307,Low,Spring,155.04,250
42,200,Middle,Winter,288.23,400
77,302,Middle,Spring,372.44,630
93,132,High,Autumn,468.12,630
97,282,High,Spring,551.93,630
98,138,Low,Winter,320.39,400
83,120,Low,Autumn,154.16,250
96,388,Low,Summer,547.87,630
34,297,High,Autumn,245.61,400
75,251,Low,Winter,326.3,400
78,352,Middle,Spring,368.22,630
95,382,High,Winter,1003.8,1000
32,296,Middle,Spring,165.88,250
97,185,High,Spring,482.41,630
47,177,High,Summer,447.66,630
20,320,Low,Summer,110.85,250
57,176,Low,Winter,237.0,400
68,136,Middle,Winter,384.88,630
19,336,High,Winter,207.33,250
32,393,Low,Winter,219.17,250
91,179,Middle,Autumn,307.28,400
26,337,High,Winter,319.13,400
95,329,Low,Winter,500.83,630
91,171,High,Summer,773.75,1000
49,153,Middle,Autumn,209.05,250
13,346,Low,Autumn,50.36,100
100,218,Middle,Summer,561.59,630
98,276,High,Summer,864.75,1000
62,319,Low,Spring,226.9,250
67,213,Middle,Summer,418.86,630
69,393,High,Autumn,465.68,630
56,259,Low,Spring,178.49,250
13,274,Low,Spring,43.49,50
21,204,Low,Autumn,66.72,100
67,194,Low,Autumn,167.35,250
55,281,High,Summer,554.75,630
25,326,High,Summer,308.45,400
17,217,Low,Spring,58.89,100
66,210,Low,Spring,172.06,250
92,302,High,Autumn,538.47,630
14,309,Low,Summer,84.4,100
13,234,Low,Summer,69.57,100
55,119,Middle,Spring,203.52,250
76,391,Low,Summer,426.22,630
49,279,Middle,Summer,353.7,400
96,228,High,Summer,738.85,1000
76,102,Middle,Autumn,269.24,400
60,242,Middle,Summer,398.84,630
86,220,Low,Spring,209.61,250
86,150,Middle,Autumn,324.55,400
51,101,Middle,Summer,252.77,400
67,353,Middle,Winter,546.6,630
25,260,Low,Summer,131.18,250
15,395,High,Spring,133.63,250
43,334,Low,Autumn,155.53,250
30,201,Low,Autumn,94.97,250
12,181,Low,Autumn,33.8,50
22,256,High,Summer,249.09,400
27,296,Low,Autumn,109.84,250
46,300,Low,Summer,231.39,400
17,188,Middle,Summer,107.35,250
65,144,High,Winter,560.21,630
94,227,Low,Spring,228.62,400
21,310,High,Spring,161.23,250
70,290,High,Winter,750.05,1000
30,137,Middle,Summer,180.2,250
36,350,High,Autumn,272.62,400
42,138,High,Winter,403.56,630
79,384,High,Autumn,585.17,1000
31,135,Low,Spring,73.21,100
31,344,Low,Autumn,132.61,250
82,134,Low,Autumn,184.7,250
89,287,Low,Autumn,255.2,400
20,110,High,Spring,115.35,250
75,310,High,Winter,781.74,1000
37,157,Middle,Spring,151.8,250
79,241,Middle,Autumn,304.92,400
23,301,Middle,Spring,113.43,250
74,289,Low,Spring,228.46,400
20,151,High,Winter,181.03,250
89,191,Low,Autumn,195.34,250
36,190,Low,Autumn,107.71,250
82,228,High,Spring,473.23,630
21,234,High,Winter,242.47,400
58,199,High,Autumn,343.81,400
94,243,High,Summer,771.51,1000
95,142,Low,Winter,297.48,400
92,336,Low,Spring,273.93,400
82,201,Low,Spring,214.83,250
41,361,High,Spring,301.17,400
13,276,Middle,Summer,99.38,250
73,113,Low,Spring,138.27,250
81,129,High,Spring,443.45,630
33,223,Middle,Winter,232.24,400
85,336,Low,Winter,397.65,630
20,161,Low,Summer,89.65,100
82,196,High,Winter,702.19,1000
27,392,Middle,Winter,222.86,250
83,265,High,Winter,767.27,1000
47,323,High,Autumn,348.57,400
19,314,High,Summer,202.61,250
91,258,Low,Winter,353.29,400
40,381,High,Autumn,335.24,400
56,176,High,Summer,488.58,630
41,255,High,Spring,269.66,400
84,340,High,Autumn,547.4,630
45,270,Middle,Summer,328.51,400
48,209,High,Winter,500.97,630
68,209,Middle,Summer,441.78,630
75,153,Middle,Autumn,272.52,400
71,368,High,Summer,812.19,1000
16,215,High,Winter,156.33,250
43,353,Middle,Spring,223.38,250
61,102,Middle,Spring,193.46,250
88,189,Low,Winter,337.39,400
60,309,Middle,Autumn,296.57,400
80,377,Middle,Autumn,385.98,630
38,375,Middle,Autumn,214.78,250
59,275,Low,Winter,310.33,400
40,392,High,Winter,431.05,630
58,251,High,Spring,400.44,630
85,281,High,Winter,812.59,1000
58,143,Middle,Spring,199.53,250
43,114,Middle,Autumn,147.0,250
52,242,Middle,Summer,366.79,630
57,299,Middle,Spring,292.05,400
25,296,High,Summer,276.6,400
15,253,Low,Spring,47.84,100
26,224,Middle,Spring,121.56,250
52,183,High,Autumn,341.1,400
59,391,Middle,Summer,520.0,630
35,311,Low,Autumn,130.83,250
65,191,High,Summer,554.97,630
27,339,Low,Autumn,108.69,250
15,266,Middle,Spring,80.65,100
27,394,Low,Autumn,107.92,250
37,376,Low,Winter,212.92,250
21,275,Low,Summer,114.72,250
79,108,Middle,Summer,405.42,630
38,175,Middle,Summer,253.1,400
27,212,High,Winter,273.46,400
50,122,High,Autumn,279.54,400
32,314,Low,Winter,166.83,250
40,114,High,Winter,329.01,400
52,241,Middle,Spring,220.31,250
67,199,High,Winter,595.08,1000
37,222,High,Winter,338.81,400
85,123,Low,Winter,250.54,400
75,360,High,Summer,786.86,1000
16,158,Middle,Spring,74.6,100
71,312,High,Autumn,482.78,630
37,157,Low,Autumn,90.56,100
56,358,High,Spring,437.15,630
70,165,Middle,Spring,253.62,400
40,105,High,Autumn,255.01,400
25,287,Low,Spring,94.13,250
64,309,Low,Autumn,210.75,250
100,332,High,Autumn,640.09,1000
35,357,High,Spring,280.9,400
54,145,High,Winter,459.57,630
65,357,Middle,Summer,511.54,630
93,262,Middle,Autumn,364.29,630
51,234,Middle,Autumn,243.26,400
16,229,Low,Spring,54.23,100
55,349,High,Winter,651.53,1000
18,287,Low,Summer,101.9,250
98,127,Middle,Spring,309.03,400
25,188,Middle,Spring,120.05,250
94,260,Middle,Autumn,355.97,400
25,347,High,Autumn,188.88,250
31,180,Middle,Spring,129.86,250
62,179,Low,Autumn,160.74,250
40,399,Low,Winter,258.78,400
27,360,Middle,Winter,242.4,400
86,107,Low,Autumn,162.35,250
44,216,Middle,Autumn,176.46,250
64,202,High,Spring,413.55,630
74,138,High,Summer,632.96,1000
63,350,High,Winter,609.62,1000
40,191,High,Autumn,239.97,400
90,151,High,Spring,447.93,630
52,133,High,Winter,487.46,630
78,358,High,Autumn,509.79,630
10,326,High,Summer,127.78,250
25,379,Middle,Autumn,132.85,250
97,116,Middle,Spring,317.16,400
11,353,Middle,Summer,92.07,250
52,390,High,Autumn,386.28,630
72,330,High,Summer,657.71,1000
89,143,Middle,Summer,426.76,630
60,379,Middle,Summer,482.5,630
48,347,High,Autumn,359.4,400
48,316,Low,Winter,287.56,400
17,209,High,Spring,128.87,250
88,235,High,Autumn,531.37,630
52,396,Low,Autumn,214.83,250
80,233,Middle,Winter,500.61,630
96,229,Middle,Winter,500.83,630
83,246,High,Autumn,451.16,630
39,332,High,Summer,439.38,630
66,244,Low,Autumn,207.27,250
38,201,Low,Winter,164.02,250
92,204,Middle,Summer,544.65,630
13,141,Middle,Summer,81.1,100
17,285,High,Summer,196.8,250
96,351,High,Winter,1007.96,1000
20,171,Low,Autumn,52.71,100
76,120,High,Spring,427.78,630
35,254,High,Summer,395.18,630
69,199,High,Summer,658.06,1000
29,157,Low,Autumn,82.04,100
50,186,High,Winter,493.72,630
99,338,High,Spring,593.66,1000
34,346,Middle,Winter,293.17,400
76,338,High,Winter,764.33,1000
32,273,Middle,Spring,149.81,250
71,200,Low,Autumn,194.01,250
87,202,Middle,Spring,347.76,400
32,349,Low,Spring,134.88,250
18,104,High,Winter,155.44,250
26,371,High,Spring,196.19,250
79,396,Low,Winter,444.49,630
45,174,High,Autumn,297.2,400
29,166,Low,Summer,123.87,250
28,257,Middle,Summer,212.73,250
63,222,Low,Winter,281.08,400
12,354,Low,Winter,75.47,100
16,365,Low,Autumn,66.33,100
84,100,Middle,Summer,419.48,630
49,203,Low,Spring,130.43,250
67,165,Low,Summer,221.66,250
16,142,Middle,Summer,101.48,250
17,304,High,Spring,138.01,250
19,275,High,Autumn,141.05,250
14,281,Middle,Autumn,74.87,100
48,200,Middle,Winter,318.57,400
10,133,Low,Winter,35.53,50
70,286,Low,Autumn,218.51,250
54,122,Middle,Autumn,186.39,250
49,241,Low,Autumn,138.34,250
34,263,High,Summer,324.37,400
91,234,Middle,Summer,558.88,630
81,272,High,Winter,713.05,1000
43,265,Low,Winter,213.2,250
24,389,High,Winter,271.56,400
56,332,Middle,Summer,425.92,630
69,183,Low,Autumn,185.07,250
89,325,Low,Autumn,284.4,400
47,260,Low,Spring,137.73,250
88,301,Low,Spring,276.12,400
58,244,Middle,Autumn,235.22,400
73,191,Middle,Autumn,291.05,400
27,374,Low,Winter,175.51,250
51,255,Middle,Autumn,234.77,400
19,273,Low,Winter,98.91,250
63,211,Low,Autumn,182.94,250
73,351,High,Summer,786.42,1000
81,284,High,Summer,746.02,1000
86,260,High,Summer,798.56,1000
71,291,Low,Summer,329.15,400
68,121,High,Autumn,399.16,630
29,136,High,Spring,167.03,250
11,104,Low,Summer,35.77,50
83,303,Low,Autumn,268.61,400
27,225,Low,Spring,78.52,100
71,118,High,Autumn,370.11,630
53,373,Low,Summer,314.11,400
67,352,High,Winter,730.86,1000
22,151,Low,Autumn,63.12,100
47,210,Low,Spring,126.61,250
34,362,High,Spring,273.4,400
93,282,Middle,Spring,367.69,630
18,264,Middle,Spring,94.95,250
22,267,Middle,Autumn,119.92,250
66,171,High,Autumn,398.09,630
13,324,High,Spring,105.74,250
38,109,Low,Spring,92.14,250
68,184,Middle,Spring,247.85,400
34,262,High,Autumn,246.2,400
19,118,High,Autumn,107.47,250
78,118,High,Spring,392.77,630
83,227,Low,Autumn,239.9,400
98,181,High,Autumn,481.45,630
17,296,Low,Autumn,64.69,100
90,356,Low,Summer,484.28,630
31,181,Middle,Autumn,130.54,250
52,370,Middle,Summer,406.09,630
61,314,High,Autumn,432.65,630
96,136,High,Spring,522.76,630
11,240,Low,Spring,35.08,50
60,344,High,Summer,651.09,1000
73,111,High,Winter,629.72,1000
75,254,Low,Spring,240.99,400
51,353,Middle,Winter,372.13,630
96,362,Low,Winter,498.68,630
13,365,Middle,Winter,124.13,250
81,168,High,Summer,687.86,1000
74,256,Low,Spring,224.23,250
15,358,High,Spring,113.33,250
26,361,High,Summer,337.53,400
48,196,Low,Autumn,143.28,250
95,231,Middle,Autumn,393.44,630
41,276,Low,Spring,149.14,250
95,176,Low,Spring,232.25,400
23,349,Middle,Spring,142.51,250
37,246,High,Winter,367.68,630
80,330,High,Summer,723.92,1000
56,246,Middle,Summer,396.97,630
30,221,High,Spring,216.71,250
38,301,Middle,Spring,194.12,250
56,180,Middle,Spring,226.06,250
99,345,Middle,Summer,653.28,1000
34,116,Low,Summer,114.51,250
63,193,Low,Winter,230.72,400
56,370,Low,Winter,356.54,400
48,266,Middle,Autumn,247.1,400
28,176,Middle,Autumn,112.79,250
39,259,Low,Spring,126.16,250
31,199,High,Winter,324.4,400
81,268,High,Summer,683.87,1000
89,219,Low,Summer,318.09,400
81,232,Low,Autumn,240.62,400
63,328,High,Autumn,408.92,630
13,269,Middle,Summer,110.8,250
68,303,Low,Winter,370.78,630
28,198,High,Autumn,190.47,250
97,323,High,Spring,580.22,1000
28,379,Low,Winter,189.91,250
23,399,Middle,Summer,200.78,250
48,236,High,Winter,491.98,630
84,126,Low,Winter,240.15,400
29,296,High,Summer,344.8,400
75,377,Low,Summer,390.96,630
35,361,Low,Winter,205.31,250
95,266,Low,Spring,260.78,400
34,255,Middle,Summer,252.91,400
12,367,Low,Winter,84.33,100
61,391,High,Summer,675.05,1000
58,400,Middle,Winter,512.64,630
64,197,Low,Summer,241.42,400
13,340,Middle,Autumn,72.41,100
71,392,Low,Spring,293.9,400
17,256,High,Winter,189.18,250
82,231,High,Winter,670.08,1000
90,125,Low,Summer,276.26,400
70,364,High,Autumn,478.05,630
65,100,High,Winter,493.3,630
35,263,High,Summer,358.88,400
42,112,Middle,Summer,242.57,400
41,183,Low,Autumn,119.09,250
63,168,Low,Spring,168.93,250
51,141,Middle,Spring,197.33,250
21,246,Low,Spring,74.05,100
56,125,Low,Winter,172.94,250
84,185,Low,Spring,194.29,250
43,270,High,Summer,458.12,630
47,215,Low,Spring,145.79,250
26,145,High,Winter,227.16,250
64,358,Middle,Autumn,325.13,400
91,143,High,Winter,657.15,1000
40,239,Middle,Summer,252.18,400
38,357,High,Summer,410.73,630
22,109,High,Winter,209.36,250
92,354,Middle,Summer,660.49,1000
50,292,Middle,Winter,376.36,630
54,116,Low,Spring,113.07,250
19,188,High,Summer,174.17,250
31,121,High,Winter,281.99,400
26,190,Low,Summer,114.73,250
57,350,Low,Winter,304.89,400
11,196,High,Spring,70.13,100
55,335,Middle,Winter,391.92,630
21,283,High,Winter,232.95,400
55,289,Low,Winter,251.98,400
72,141,Middle,Summer,369.2,630
12,184,High,Winter,127.15,250
32,276,Low,Autumn,104.53,250
26,161,Low,Summer,100.86,250
82,299,Low,Summer,392.76,630
45,168,High,Autumn,259.18,400
71,270,Low,Summer,341.62,400
73,260,High,Summer,667.53,1000
45,398,Middle,Winter,400.97,630
85,304,Middle,Winter,582.99,1000
54,351,High,Autumn,397.44,630
100,134,Middle,Winter,478.13,630
71,334,Middle,Spring,325.49,400
41,177,Low,Autumn,108.63,250
82,149,Middle,Winter,447.35,630
23,329,Low,Summer,134.53,250
72,137,Middle,Summer,349.69,400
95,374,Middle,Winter,645.59,1000
62,285,Middle,Autumn,313.77,400
84,291,High,Winter,753.01,1000
51,236,Middle,Summer,357.09,400
83,204,Middle,Winter,462.86,630
52,232,High,Winter,522.92,630
61,112,Middle,Summer,348.19,400
73,103,Low,Summer,228.0,400
43,331,High,Spring,293.36,400
80,374,Middle,Spring,385.76,630
98,201,Low,Autumn,235.93,400
57,383,Middle,Spring,290.4,400
40,277,Middle,Autumn,180.89,250
20,293,High,Autumn,154.02,250
33,343,Middle,Summer,254.58,400
50,177,Middle,Spring,191.54,250
33,136,Middle,Summer,176.63,250
24,373,Low,Spring,97.27,250
88,254,Low,Autumn,252.46,400
95,128,High,Winter,731.33,1000
23,393,Low,Autumn,94.54,250
26,234,Middle,Spring,133.91,250
36,366,High,Summer,415.62,630
36,156,High,Autumn,219.55,250
100,243,Low,Winter,419.38,630
